industryName,datayear,state,se
100,1980,0.293497669,0.070811271
200,1980,NA,NA
700,1980,0.031120852,0.00923055
100,1981,0.313230661,0.088423244
200,1981,NA,NA
700,1981,0.032696338,0.010720889
100,1982,0.353303211,0.095834248
200,1982,NA,NA
700,1982,0.036027307,0.011198564
100,1983,0.416201453,0.097397134
200,1983,NA,NA
700,1983,0.038777686,0.011373782
100,1984,0.505862655,0.09384925
700,1984,0.044972999,0.011472506
100,1985,0.516302524,0.09028023
700,1985,0.055388921,0.01161553
100,1986,0.498525401,0.087854942
200,1986,NA,NA
700,1986,0.064175306,0.011970383
100,1987,0.515960514,0.084895805
700,1987,0.073835997,0.012919661
100,1988,0.455421824,0.082283396
700,1988,0.082827103,0.013344803
100,1989,0.378468168,0.080807427
200,1989,NA,NA
700,1989,0.087437298,0.013541081
100,1990,0.315598932,0.079018559
200,1990,NA,NA
700,1990,0.089639772,0.013632867
100,1991,0.275868014,0.078049236
200,1991,NA,NA
700,1991,0.088775972,0.013676055
100,1992,0.250188271,0.076794155
700,1992,0.079154872,0.013696471
100,1993,0.23590957,0.073733116
200,1993,NA,NA
700,1993,0.07344612,0.013706222
100,1994,0.195025866,0.073537337
200,1994,NA,NA
700,1994,0.072665024,0.013711068
800,1994,NA,NA
100,1995,0.163833514,0.07592098
200,1995,NA,NA
700,1995,0.067940684,0.013713864
800,1995,NA,NA
100,1996,0.13765687,0.078351327
200,1996,NA,NA
700,1996,0.061471277,0.013716258
800,1996,NA,NA
100,1997,0.111758935,0.080832522
200,1997,NA,NA
700,1997,0.058188186,0.013719659
800,1997,NA,NA
100,1998,0.099472872,0.083019284
700,1998,0.052019051,0.013726067
800,1998,NA,NA
100,1999,0.089009994,0.087022351
700,1999,0.047883286,0.013739246
800,1999,NA,NA
100,2000,0.083185225,0.089869642
700,2000,0.044806181,0.013766915
800,2000,NA,NA
100,2001,0.081928391,0.093583878
700,2001,0.043977126,0.013825199
800,2001,NA,NA
100,2002,0.082352773,0.097127005
700,2002,0.039733282,0.013947687
800,2002,NA,NA
100,2003,0.084549926,0.102378475
700,2003,0.035896483,0.014203374
800,2003,NA,NA
100,2004,0.088655283,0.111743451
200,2004,NA,NA
700,2004,0.031898372,0.014729781
800,2004,NA,NA
100,2005,0.089850663,0.124848593
200,2005,NA,NA
700,2005,0.026350058,0.015785899
800,2005,NA,NA
900,2005,NA,NA
100,2006,0.090853655,0.140872706
200,2006,NA,NA
700,2006,0.023777573,0.017815445
800,2006,NA,NA
900,2006,NA,NA
1000,1980,0.052225392,0.004124512
1040,1980,0.005978068,0
1044,1980,NA,NA
1220,1980,0.030103522,0
1221,1980,0.007164804,0.037106169
1311,1980,0.023633646,0.002541377
1381,1980,0.030542757,0
1382,1980,0.022832951,0
1389,1980,0.022307262,0
1400,1980,0.011812206,0
1531,1980,NA,NA
1540,1980,NA,NA
1600,1980,0.061472359,0
1700,1980,0.014051299,0.002066267
1731,1980,0.01451053,0
2000,1980,0.012505759,0
2011,1980,0.001332844,8.94E-05
2013,1980,NA,NA
2015,1980,NA,NA
2020,1980,0.011560188,0.001996773
2030,1980,0.026853158,0
2033,1980,0.002321719,0
2040,1980,0.019453125,0
2050,1980,0.004410126,0.001133971
2060,1980,0.005270835,8.49E-05
2070,1980,0.002361193,0.000142938
2080,1980,0.030523474,0.009352291
2082,1980,0.009787986,0
2090,1980,0.045393869,0.009925671
2100,1980,0.0052698,0.000678472
2111,1980,0.010622499,0
2200,1980,0.020568322,0
2211,1980,0.003535011,0.001351191
2221,1980,0.011819765,0.0024231
2250,1980,0.007729746,0.001417007
2253,1980,NA,NA
2273,1980,0.007303858,0
2300,1980,NA,NA
2320,1980,0.003367063,0.000330555
2330,1980,0.001610262,0.000821205
2340,1980,NA,NA
2390,1980,0.010753363,0.001039628
2400,1980,0.008753043,0
2430,1980,0.02165928,0
2451,1980,NA,NA
2452,1980,0.004840648,0
2510,1980,0.008698851,0.000348216
2511,1980,0.010840794,0.000767231
2520,1980,0.020457015,0
2522,1980,0.012511579,0.000856622
2531,1980,0.030811517,0
2540,1980,0.007985041,0
2590,1980,NA,NA
2600,1980,0.005513332,0.000439502
2611,1980,0.020233109,0
2621,1980,NA,NA
2631,1980,0.012631384,0.001069229
2650,1980,0.005707095,0.001318469
2670,1980,0.020651493,0.001800163
2673,1980,0.003086709,0.023703264
2711,1980,NA,NA
2721,1980,NA,NA
2731,1980,0.066040492,0.008806591
2750,1980,0.014253492,0
2761,1980,0.009941855,0.000886048
2800,1980,0.035969651,0
2810,1980,0.01892266,0.002905174
2820,1980,0.022247916,0
2821,1980,0.090535527,0
2834,1980,0.12504774,0.133605476
2835,1980,0.24441409,0.137773484
2836,1980,0.98594182,0.361511579
2840,1980,0.030004458,0
2842,1980,0.017452146,0.004831916
2844,1980,NA,NA
2851,1980,NA,NA
2860,1980,0.055732934,0
2870,1980,0.135664123,0.021315336
2890,1980,0.036262824,0.003542254
2891,1980,0.037921997,0.002159913
2911,1980,NA,NA
2950,1980,0.010049852,0.001555505
2990,1980,0.096223709,0
3011,1980,0.014772947,0.00101728
3050,1980,0.017733815,0.005427082
3060,1980,0.040102445,0.0037809
3080,1980,0.021117887,0.000473352
3081,1980,0.027486935,0
3086,1980,0.021188494,0.001841698
3089,1980,0.023970448,0.001075533
3100,1980,0.015015818,0.000789133
3140,1980,0.007774043,0.001755593
3220,1980,0.08594736,0.011552845
3221,1980,NA,NA
3231,1980,0.010226783,0.00439831
3241,1980,NA,NA
3250,1980,0.010040666,0.000298749
3260,1980,0.034864586,0.003108333
3270,1980,0.006776965,0
3272,1980,0.009154521,0.001641152
3290,1980,0.044562935,0
3310,1980,0.016066014,0.02373738
3312,1980,NA,NA
3317,1980,0.006508215,0
3320,1980,0.015406484,0.001131627
3330,1980,0.010936549,0.001717555
3334,1980,0.009028865,0.0005315
3341,1980,0.459772701,0.0949012
3350,1980,0.022924629,0.00198975
3357,1980,0.052304955,0.003708092
3360,1980,0.032660298,0
3390,1980,0.012597687,0
3411,1980,0.00843009,0.000410017
3420,1980,NA,NA
3430,1980,NA,NA
3433,1980,0.026225486,0
3440,1980,0.018106723,0.002445525
3442,1980,0.008717914,0
3443,1980,0.020649817,0.004859349
3444,1980,0.016970524,0
3448,1980,0.0066787,0.000455821
3451,1980,NA,NA
3452,1980,0.012801746,0
3460,1980,0.020093159,0.002106156
3470,1980,0.017251773,0.000834567
3480,1980,0.021491476,0.000611366
3490,1980,0.020859154,0.004101428
3510,1980,0.020596755,0.100854629
3523,1980,NA,NA
3524,1980,0.014588816,0.000599234
3530,1980,0.043039675,0.010870379
3531,1980,0.023356656,0.000877478
3532,1980,0.022469161,0.001513917
3533,1980,0.033596235,0
3537,1980,0.020163348,0.003214891
3540,1980,0.014427502,0.005527215
3541,1980,0.020936663,0.001763508
3555,1980,0.064200421,0
3559,1980,NA,NA
3560,1980,0.023370353,0.002162808
3561,1980,0.02331008,0
3562,1980,0.014639236,0
3564,1980,0.012828829,0.000425718
3567,1980,0.055565116,0
3569,1980,0.035957814,0
3570,1980,0.080267279,0
3571,1980,0.153155597,0
3572,1980,0.120525962,0
3575,1980,0.065012379,0.061328536
3576,1980,0.112448336,0.027173234
3577,1980,0.079910538,0.006937697
3578,1980,0.05361727,0.021588679
3579,1980,0.030177334,0.020859818
3580,1980,0.053846996,0
3585,1980,0.020107345,0
3590,1980,0.037747148,0
3600,1980,0.033694157,0.002346486
3612,1980,0.028514102,0.004861855
3613,1980,0.035698312,0.00590991
3620,1980,0.046049394,0.01433204
3621,1980,0.043990832,0.071229761
3630,1980,NA,NA
3634,1980,0.015061168,0.00586622
3640,1980,0.044928015,0
3651,1980,0.035216119,0.02188444
3661,1980,0.074059518,0.030083488
3663,1980,0.052327979,0.018554499
3669,1980,0.048035138,0.009990628
3670,1980,0.054055549,0.011039684
3672,1980,0.028105087,0.008722325
3674,1980,0.098939711,0.030272996
3678,1980,0.036099646,0
3679,1980,0.043629276,0.029119434
3690,1980,0.066917115,0.031752061
3711,1980,NA,NA
3713,1980,0.027742834,0.002026584
3714,1980,0.024359853,0.006109022
3716,1980,0.007187979,0
3720,1980,NA,NA
3721,1980,0.042897117,0.004323649
3724,1980,0.024645898,0.010086748
3728,1980,0.024394151,0.001191107
3730,1980,0.021805025,0.001327398
3743,1980,0.04358114,0.004145434
3760,1980,0.026224033,0.003180023
3790,1980,0.011039444,0.00135672
3812,1980,NA,NA
3821,1980,0.041928714,0.007671877
3822,1980,0.029888933,0.004355413
3823,1980,0.065472178,0.011516439
3824,1980,0.052394787,0.002765768
3825,1980,0.080397629,0.012369734
3826,1980,0.082602515,0.050645153
3827,1980,0.084905139,0.024501905
3829,1980,0.075076198,0.049253457
3841,1980,0.059339496,0.075511619
3842,1980,0.070635118,0.030626558
3843,1980,0.088524619,0
3844,1980,0.110732799,0
3845,1980,0.152805687,0.036539271
3851,1980,0.064498354,0.02056458
3861,1980,NA,NA
3873,1980,NA,NA
3931,1980,NA,NA
