,industryName,logLik,numParams,AICc,States,SEs,converge,fake Ses,realSEs and converge?,,,
1,800,221.5231627,4,-434.344571,"0.0063142243019202, 0.00631580489968074, 0.00631738549744127, 0.00631896609520181, 0.00632054669296234, 0.0064466401786118, 0.00657273366426126, 0.00669882714991071, 0.00682191783677306, 0.00691696647139086, 0.00716993891213815, 0.00767471669162353, 0.00859936287009492, 0.00970039383033768, 0.0109774659698513, 0.012114553908669, 0.0118768823769541, 0.0111637916896507, 0.0107330684336727, 0.0110877073385812, 0.0119133713110202, 0.0117514244922091, 0.0110167666921441, 0.00991320176130425, 0.00843659122193339, 0.00610307534161267, 0.0050846288437159","0.00169815178638069, 0.00223885790892985, 0.00252711213450639, 0.00264672486321549, 0.00262088821203014, 0.00267237423087452, 0.00258267192289078, 0.00233556967660933, 0.00207852496619695, 0.00188709963720768, 0.00180420504361176, 0.00175305651318688, 0.00167917038013509, 0.00165688708876395, 0.00165574093550114, 0.00167411777696481, 0.00173733723404661, 0.00176016389240629, 0.00176862743333749, 0.00177202139469252, 0.00177402127832419, 0.0017767794201512, 0.00178324807182312, 0.00180027899440325, 0.00184544737140821, 0.00196242006427164, 0.00224862164449531",0,0,1,,200,#N/A
2,1040,NA,NA,NA,NA,NA,NA,0,0,,800,800
3,1090,NA,NA,NA,NA,NA,NA,0,0,,900,#N/A
4,1220,162.1365497,4,-315.5183823,"0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583, 0.0169193850686583","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,1,0,,1040,1040
5,1381,205.0012379,4,-401.3245097,"0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973, 0.00997022344377973","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,1,0,,1044,#N/A
6,1382,NA,NA,NA,NA,NA,NA,0,0,,1090,1090
7,1389,NA,NA,NA,NA,NA,NA,0,0,,1220,1220
8,1400,98.10858987,4,-186.4780493,"0.0102927323393651, 0.013170647142117, 0.0079385322316274, 0.00890608160875265, 0.0099450576306981, 0.0224213105959667, 0.0379124845073887, 0.0245820113147052, 0.02825204066623, 0.0260821488416097, 0.0133567000810544, 0.00753542090457236, 0.00767029391312749, 0.00647906154763326, 0.00605094456842671, 0.00479325218287053, 0.00405033133954457, 0.00450832057970661, 0.00400257697574496, 0.00468985174074105","0.00295168711172873, 0.00298981095346663, 0.00299079564309278, 0.00299082123943953, 0.00299082190490875, 0.00299082192220515, 0.00299082192246464, 0.00299082191515605, 0.00299082163359298, 0.00299081080367939, 0.0029903942182794, 0.00297432663235837, 0.00227163708791181, 0.00226444821668466, 0.00226438452118625, 0.0022643839583661, 0.00226438402644454, 0.0022643922856998, 0.00226532575440884, 0.0023684783408661",0,0,1,,1381,1381
9,1540,107.8980345,4,-206.4167586,"0.0638932193175419, 0.0589662277140753, 0.0540392361106087, 0.0491122445071421, 0.0441852529036755, 0.0389155269406572, 0.0353916343447093, 0.0358727901722083, 0.0372501651975203, 0.0381968190714645, 0.0350210635330682, 0.0282660067402936, 0.0262549993535374, 0.026286272625047, 0.0267960346048772, 0.0275468189550731, 0.0271736745075532, 0.0250694950646342, 0.0247386904054695, 0.0253893709260169, 0.0240586268712365, 0.0226729023208677, 0.0213814910547404","0.00405154240928455, 0.00565834851969941, 0.00620253168453543, 0.00598151066839102, 0.00489265977824062, 0.00454187189125369, 0.00443071247468727, 0.0043671310638383, 0.00423076468210252, 0.00372970802931759, 0.00363874171914511, 0.00362323095980679, 0.00362061791103924, 0.0036201786747806, 0.00362010523868452, 0.00362009516809492, 0.00362010698551616, 0.00362018936299384, 0.00362068155466748, 0.0036236094034658, 0.00364098355695765, 0.00374270455677916, 0.00429852017942917",0,0,1,,1382,1382
10,1731,NA,NA,NA,NA,NA,NA,0,0,,1389,1389
11,2030,85.76826003,4,-162.3936629,"0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374, 0.0333114472415374","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,1,0,,1400,1400
12,2033,NA,NA,NA,NA,NA,NA,0,0,,1520,#N/A
13,2052,NA,NA,NA,NA,NA,NA,0,0,,1531,#N/A
14,2060,181.9942317,4,-355.0360825,"0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338, 0.00817221568075338","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,1,0,,1540,1540
