"","industryName","companyName","logLik","numParams","AICc","States","SEs","converge"
"1","100","8596",39.8615847488104,5,-54.7231694976208,"0.0274139138218808, 0.0320788984707678, 0.0367438831196548, 0.0414088677685419, 0.0460738524174289, 0.0507388370663159, 0.0554038217152029, 0.0600688063640899, 0.064733791012977, 0.069398775661864","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"2","100","23080",39.9907772181654,5,-54.9815544363307,"0.00624709981452185, 0.00897025635072503, 0.0101656200249336, 0.0104628304158514, 0.0158467109090118, 0.0267200779151412, 0.0279095378032594, 0.0257251876028498, 0.0185390523068166, 0.0192346999531357","0.000181817773796186, 0.000181818031494738, 0.000181818031495474, 0.000181818031495474, 0.000181818031495474, 0.000181818031495474, 0.000181818031495474, 0.000181818031495474, 0.000181818031929346, 0.000181971026497454",10
"3","100","28524",32.7201895256812,5,-40.4403790513623,"0.0627078738703987, 0.0637958507195211, 0.0648838275686435, 0.0659718044177659, 0.0670597812668883, 0.0681477581160107, 0.0692357349651331, 0.0703237118142555, 0.0714116886633778, 0.0724996655125002","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"4","700","10159",25.7829135060807,5,-26.5658270121613,"0.0398959406034803, 0.0484643268367206, 0.0570327130699609, 0.0656010993032013, 0.0741694855364416, 0.0827378717696819, 0.0913062580029222, 0.0998746442361625, 0.108443030469403, 0.117011416702643","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"5","1000","19565",45.7914280498389,5,-66.5828560996777,"0.00332269378378019, 0.00437814135127004, 0.00475771890852657, 0.00218886770104737, 0.00376738250208649, 0.00524002058354269, 0.0116255286435035, 0.011599850544873, 0.0098975093077707, 0.00742573215062988","0.000185315769125555, 0.000185318698285174, 0.000185318698377769, 0.000185318698377772, 0.000185318698377774, 0.000185318698377774, 0.000185318698377774, 0.000185318698378293, 0.000185318714847462, 0.00018583894840872",10
"6","1000","17535",37.6214160660883,5,-50.2428321321765,"0.0163905121477922, 0.0177566346748003, 0.0201526798407813, 0.0181206490054022, 0.0180635798269202, 0.0123785865521086, 0.00924696903962078, 0.0108470565146626, 0.019052842118312, 0.0201402893274863","0.00209370366776672, 0.0021473008490372, 0.0021500436280109, 0.00215018576050126, 0.00215019321713423, 0.00215019527743762, 0.00215022766035622, 0.00215085168872244, 0.00216285084259542, 0.00238246314594888",0
"7","1090","24370",50.225463044201,5,-75.4509260884019,"0.00988367722510967, 0.00912503771663718, 0.0083663982081647, 0.00760775869969221, 0.00684911919121973, 0.00609047968274724, 0.00533184017427476, 0.00457320066580227, 0.00381456115732978, 0.0030559216488573","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"8","1311","6403",63.6497719753164,5,-102.299543950633,"0.00222817027278358, 0.00247584380032306, 0.00272351732786255, 0.00297119085540203, 0.00321886438294151, 0.003466537910481, 0.00371421143802048, 0.00396188496555997, 0.00420955849309945, 0.00445723202063894","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"9","1311","8068",60.3502376363481,5,-95.7004752726963,"0.00506914262496461, 0.00492612186395972, 0.0036034395936806, 0.00264570978587373, 0.00120104065251245, 0.00128572576863618, 0.0012168070239541, 0.00103211393138275, 0.00106075681119669, 0.00132269894108831","2.67422257367764e-05, 2.67422868999165e-05, 2.67422869001956e-05, 2.67422869001956e-05, 2.67422869001956e-05, 2.67422869001956e-05, 2.67422869001956e-05, 2.67422869001966e-05, 2.67422870310098e-05, 2.67708692464561e-05",10
"10","1311","9364",-9.18938533204673,NA,NA,NA,NA,NA
"11","1311","9653",52.257685894184,5,-79.515371788368,"0.00884135412277427, 0.00927112623782595, 0.00970089835287764, 0.0101306704679293, 0.010560442582981, 0.0109902146980327, 0.0114199868130844, 0.0118497589281361, 0.0122795310431878, 0.0127093031582394","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0
"12","1311","11038",55.2550915365885,5,-85.510183073177,"0.00258153397967729, 0.00346798301008824, 0.00462901566654365, 0.00550963530931926, 0.00567977375745944, 0.00622945673810694, 0.00778267668414132, 0.00634176680048952, 0.00588450515406236, 0.005526976387497","0.000236935605304034, 0.000237503089613981, 0.000237505807964897, 0.000237505821001856, 0.000237505821064402, 0.000237505821069031, 0.000237505821971878, 0.00023750601022383, 0.000237545259362418, 0.000245592123466746",0
